"ASSEMBLY","HAS_ACR","HAS_ST","HAS_CRISPR","ST_MM0","ST_MM15","HAS_PROPHAGE","HAS_ST_PRO","ST_MM0_PRO","ST_MM15_PRO","HAS_ARRAY","HAS_CAS","SPECIES","GENUS","KINGDOM","DEF_ORG","DEF_COMP","TAXID","N_CONTIG"
"GCF_000496455.2",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa DHS01","complete genome",1411700,1
"GCF_000496605.2",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa PA1","complete genome",1279007,1
"GCF_000496645.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa PA1R","complete genome",1279008,1
"GCF_000504045.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa MTB-1","Pseudomonas","Bacteria","Pseudomonas aeruginosa MTB-1","complete genome",1415629,1
"GCF_000508765.1",1,1,0,1,0,1,1,1,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa LES431","complete genome",1408272,1
"GCF_000510305.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa SCV20265","complete genome",1427342,1
"GCF_000524595.1",1,1,1,1,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa YL84","complete genome",1448140,1
"GCF_000816985.1",0,1,0,0,1,1,1,0,1,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain F22031","complete genome",287,1
"GCF_000829255.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa DNA","complete genome",287,1
"GCF_000829275.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa DNA","complete genome",287,1
"GCF_000829885.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain FRD1","complete genome",287,1
"GCF_000981825.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Carb01 63","complete genome",287,1
"GCF_001045685.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa DSM 50071 = NBRC 12689","Pseudomonas","Bacteria","Pseudomonas aeruginosa DSM 50071","complete genome",1123015,1
"GCF_001077475.1",0,0,0,0,0,0,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain F9676","complete genome",287,1
"GCF_001293085.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA1RG","complete genome",287,1
"GCF_001447845.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain VA-134","complete genome",287,1
"GCF_001457615.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa genome assembly NCTC10332","chromosome : 1",287,1
"GCF_001482325.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain 12-4-4(59)","complete genome",287,1
"GCF_001515845.2",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain S86968","complete genome",287,1
"GCF_001515915.2",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain T38079","complete genome",287,1
"GCF_001516005.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain T52373","complete genome",287,1
"GCF_001516105.1",0,0,0,0,0,0,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain T63266","complete genome",287,1
"GCF_001516165.2",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain W16407","complete genome",287,1
"GCF_001516185.2",0,1,1,0,1,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain W36662","complete genome",287,1
"GCF_001516205.2",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain W45909","complete genome",287,1
"GCF_001516225.2",1,0,0,0,0,0,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain W60856","complete genome",287,1
"GCF_001516245.2",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain F23197","complete genome",287,1
"GCF_001516265.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain F30658","complete genome",287,1
"GCF_001516305.2",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain H5708","complete genome",287,1
"GCF_001516325.2",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain H27930","complete genome",287,1
"GCF_001516345.1",1,0,0,0,0,0,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain H47921","complete genome",287,1
"GCF_001516365.2",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain M1608","complete genome",287,1
"GCF_001516385.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain M37351","complete genome",287,1
"GCF_001518975.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain USDA-ARS-USMARC-41639","complete genome",287,1
"GCF_001542795.2",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain X78812","complete genome",287,1
"GCF_001542835.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain F9670","complete genome",287,1
"GCF_001547955.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa DNA","complete genome",287,1
"GCF_001548135.1",1,1,0,0,1,1,1,0,1,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa DNA","complete genome",287,1
"GCF_001548335.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa DNA","complete genome",287,1
"GCF_001594325.2",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain F63912","complete genome",287,1
"GCF_001606045.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain N17-1 chromosome","complete genome",287,1
"GCF_001632245.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain BAMCPA07-48","complete genome",287,1
"GCF_001679685.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA121617 chromosome","complete genome",287,2
"GCF_001721745.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA_D1","complete genome",287,1
"GCF_001721765.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA_D2","complete genome",287,1
"GCF_001721785.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA_D9","complete genome",287,1
"GCF_001721805.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA_D16","complete genome",287,1
"GCF_001721825.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA_D22","complete genome",287,1
"GCF_001721845.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA_D25","complete genome",287,1
"GCF_001722005.2",0,0,0,0,0,0,0,0,0,0,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain DN1 chromosome","complete genome",287,2
"GCF_001722025.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA_D5","complete genome",287,1
"GCF_001722045.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA_D21","complete genome",287,1
"GCF_001729505.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain ATCC 15692 chromosome","complete genome",287,1
"GCF_001750705.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain FA-HZ1","complete genome",287,1
"GCF_001792835.1",0,1,1,0,1,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA1088","complete genome",287,1
"GCF_001792855.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA8281","complete genome",287,1
"GCF_001792875.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA11803","complete genome",287,1
"GCF_001870265.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA7790","complete genome",287,2
"GCF_001879525.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PAER4_119","complete genome",287,1
"GCF_001900195.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain SCVFeb","complete genome",287,1
"GCF_001900225.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain SCVJan","complete genome",287,1
"GCF_001900265.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain NHmuc","complete genome",287,1
"GCF_002075065.1",0,1,1,1,0,1,1,1,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA_154197","complete genome",287,1
"GCF_002085605.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain RIVM-EMC2982 chromosome","complete genome",287,1
"GCF_002085755.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain E6130952 chromosome","complete genome",287,2
"GCF_002104595.1",0,1,0,0,1,1,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PASGNDM699 chromosome","complete genome",287,1
"GCF_002104615.1",0,1,0,0,1,1,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PASGNDM345 chromosome","complete genome",287,1
"GCF_002192475.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Pa124 chromosome","complete genome",287,1
"GCF_002192495.1",1,1,0,0,1,1,1,0,1,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Pa58 chromosome","complete genome",287,1
"GCF_002205335.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Pa84 chromosome","complete genome",287,1
"GCF_002205355.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Pa127 chromosome","complete genome",287,1
"GCF_002205375.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Pa1242 chromosome","complete genome",287,1
"GCF_002208645.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Pa1207 chromosome","complete genome",287,1
"GCF_002215345.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA83 chromosome","complete genome",287,2
"GCF_002223805.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain L10 chromosome","complete genome",287,1
"GCF_002237405.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Ocean-1155 chromosome","complete genome",287,1
"GCF_002237425.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Ocean-1175 chromosome","complete genome",287,1
"GCF_002287725.2",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PPF-1 chromosome","complete genome",287,1
"GCF_002411865.2",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain 97 chromosome","complete genome",287,1
"GCF_002442855.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PA_150577 chromosome","complete genome",287,1
"GCF_002753655.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain 12939 chromosome","complete genome",287,1
"GCF_002812825.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PB369 chromosome","complete genome",287,1
"GCF_002812845.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PB368 chromosome","complete genome",287,1
"GCF_002812865.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PB353 chromosome","complete genome",287,2
"GCF_002812885.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PB354 chromosome","complete genome",287,2
"GCF_002812905.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PB350 chromosome","complete genome",287,1
"GCF_002812925.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PB367 chromosome","complete genome",287,1
"GCF_002946935.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain F5677 chromosome","complete genome",287,1
"GCF_002968515.1",0,1,1,0,1,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_0360 chromosome","complete genome",287,1
"GCF_002968585.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_0354 chromosome","complete genome",287,1
"GCF_002968655.1",0,0,0,0,0,1,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_0353 chromosome","complete genome",287,2
"GCF_002968695.1",1,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_0230 chromosome","complete genome",287,3
"GCF_002968755.1",0,0,0,0,0,0,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_0356 chromosome","complete genome",287,4
"GCF_002968955.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_0357 chromosome","complete genome",287,1
"GCF_002997005.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_0095 chromosome","complete genome",287,1
"GCF_003025345.2",1,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain CR1 chromosome","complete genome",287,2
"GCF_003028335.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain MRSN12280 chromosome","complete genome",287,1
"GCF_003052005.2",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain WCHPA075019 chromosome","complete genome",287,1
"GCF_003060845.1",1,1,0,1,0,1,1,1,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain JB2 chromosome","complete genome",287,1
"GCF_003073615.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR444 chromosome","complete genome",287,1
"GCF_003073695.1",0,0,0,0,0,1,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR441 chromosome","complete genome",287,4
"GCF_003073735.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR445 chromosome","complete genome",287,1
"GCF_003073795.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR442 chromosome","complete genome",287,1
"GCF_003073895.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR439 chromosome","complete genome",287,3
"GCF_003193645.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_0446 chromosome","complete genome",287,1
"GCF_003194245.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain CCUG 70744 chromosome","complete genome",287,1
"GCF_003204335.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_0110 chromosome","complete genome",287,1
"GCF_003206535.1",1,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain K34-7 chromosome","complete genome",287,2
"GCF_003288335.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_460 chromosome","complete genome",287,1
"GCF_003288355.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_455 chromosome","complete genome",287,1
"GCF_003288435.1",0,0,0,0,0,1,0,0,0,1,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_458 chromosome","complete genome",287,1
"GCF_003319235.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain HS9 chromosome","complete genome",287,1
"GCF_003369735.1",0,0,0,0,0,0,0,0,0,0,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Y89 chromosome","complete genome",287,2
"GCF_003369755.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Y82 chromosome","complete genome",287,1
"GCF_003369775.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Y31 chromosome","complete genome",287,1
"GCF_003408495.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain Y71 chromosome","complete genome",287,1
"GCF_003429185.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PABL012 chromosome","complete genome",287,1
"GCF_003429205.1",0,1,1,0,1,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PABL017 chromosome","complete genome",287,1
"GCF_003433235.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain 24Pae112 chromosome","complete genome",287,1
"GCF_003571505.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain N15-01092","complete sequence",287,1
"GCF_003571805.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain AR_0111 chromosome","complete genome",287,2
"GCF_003641125.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain 268 chromosome","complete genome",287,1
"GCF_003716765.1",0,1,1,1,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain SP4528 chromosome","complete genome",287,1
"GCF_003798105.1",1,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain H26027 chromosome","complete genome",287,1
